nombre,categoria_iba,ingredientes,preparacion,cristaleria,guarnicion,fuente_url
Alexander,The Unforgettables (Inolvidables),30 ml (1 oz) de coñac (cognac); 30 ml (1 oz) de crema de cacao oscura; 30 ml (1 oz) de crema de leche fresca,Verter todos los ingredientes en una coctelera con cubos de hielo. Agitar (shake) y colar en una copa de cóctel fría.,copa de cóctel,Nuez moscada recién rallada espolvoreada por encima.,https://iba-world.com/iba-cocktail/alexander/
Americano,The Unforgettables (Inolvidables),30 ml (1 oz) de Campari (bitter Campari); 30 ml (1 oz) de vermut rojo dulce; un chorrito de agua con gas (soda),Mezclar los ingredientes directamente en un vaso old fashioned lleno de cubos de hielo. Añadir un chorrito de agua con gas. Remover suavemente.,vaso old fashioned,Media rodaja de naranja y una piel (zest) de limón.,https://iba-world.com/iba-cocktail/americano/
Angel Face,The Unforgettables (Inolvidables),30 ml (1 oz) de gin; 30 ml (1 oz) de brandy de albaricoque (apricot brandy); 30 ml (1 oz) de calvados,Verter todos los ingredientes en una coctelera con cubos de hielo. Agitar y colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/angel-face/
Aviation,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin; 15 ml (0,5 oz) de licor marrasquino Luxardo; 15 ml (0,5 oz) de jugo fresco de limón; 1 cucharada de bar de crème de violette (licor de violeta)",Poner todos los ingredientes en una coctelera. Agitar con hielo picado y colar en una copa de cóctel fría.,copa de cóctel,Opcional: una cereza marrasquino.,https://iba-world.com/iba-cocktail/aviation/
Bee's Knees,New Era Drinks (Bebidas de la nueva era),"52,5 ml (1,75 oz) de gin seco (dry gin); 2 cucharaditas de jarabe de miel; 22,5 ml (0,75 oz) de jugo fresco de limón; 22,5 ml (0,75 oz) de jugo fresco de naranja",Remover la miel con los jugos de limón y de naranja hasta que se disuelva; añadir el gin y agitar con hielo. Colar en una copa de cóctel fría.,copa de cóctel,Opcional: una piel (zest) de limón o de naranja.,https://iba-world.com/iba-cocktail/bees-knees/
Between the Sheets,The Unforgettables (Inolvidables),"30 ml (1 oz) de ron blanco; 30 ml (1 oz) de coñac (cognac); 30 ml (1 oz) de triple sec; 20 ml (0,67 oz) de jugo fresco de limón",Poner todos los ingredientes en una coctelera. Agitar con hielo y colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/between-the-sheets/
Black Russian,Contemporary Classics (Clásicos contemporáneos),"50 ml (1,67 oz) de vodka; 20 ml (0,67 oz) de licor de café","Verter los ingredientes en un vaso old fashioned lleno de cubos de hielo y remover suavemente. Nota: para el White Russian, hacer flotar crema de leche fresca por encima y removerla lentamente.",vaso old fashioned,Sin guarnición.,https://iba-world.com/iba-cocktail/black-russian/
Bloody Mary,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de vodka; 90 ml (3 oz) de jugo de tomate; 15 ml (0,5 oz) de jugo fresco de limón; 2 golpes (dashes) de salsa Worcestershire; Tabasco, sal de apio y pimienta al gusto","Remover suavemente todos los ingredientes en un vaso mezclador con hielo y verter en un vaso rocks. Nota: si se pide con hielo, servir en un vaso highball.",vaso rocks (o vaso highball si se sirve con hielo),Apio y una cuña de limón (opcional).,https://iba-world.com/iba-cocktail/bloody-mary/
Boulevardier,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de bourbon o whiskey de centeno (rye); 30 ml (1 oz) de Campari (bitter Campari); 30 ml (1 oz) de vermut rojo dulce",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien (stir) y colar en una copa de cóctel fría.,copa de cóctel,"Una piel (zest) de naranja u, opcionalmente, de limón.",https://iba-world.com/iba-cocktail/boulevardier/
Bramble,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de gin; 25 ml (0,83 oz) de jugo fresco de limón; 12,5 ml (0,42 oz) de jarabe de azúcar; 15 ml (0,5 oz) de crème de mûre (licor de mora)","Verter todos los ingredientes en la coctelera excepto la crème de mûre, agitar bien con hielo y colar en un vaso old fashioned frío lleno de hielo picado; luego verter el licor de mora (crème de mûre) sobre la bebida con un movimiento circular.",vaso old fashioned,Opcional: una rodaja de limón y moras.,https://iba-world.com/iba-cocktail/bramble/
